대피소,사이트제목,성별,연령,직업,소득,결혼,자녀,주거,시도,구,동,자동차
설악산 중청,설악산 중청대피소 하룻밤의 추억,M,4,"사무직 (일반사무직, 공무원, 직업군인)",700~799만원,예    ,자녀 있음 ,아파트/ 주상복합,서울,관악구,봉천동,"중형차 (쏘나타, K5, 말리부, 골프급 등)"
지리산 세석,[대중교통으로 찾은 지리산 성중종주] 첫째날 성삼재에서 세석대피소까지 약 20km를 놀며쉬며 여유로운 산행했다,M,2,"생산/노무직 (생산감독, 경비원, 공장근로자)",300~399만원,예    ,자녀 없음 ,아파트/ 주상복합,전북,군산시,미룡동,"준대형차 (그랜저, K7, 알페온, 캠리급, 파사트급 등)"
한라산 윗세,[제주 한라산] 영실 - 윗세오름대피소 - 어리목,M,4,,,      ,          ,,서울,강남구,역삼1동,
덕유산 향적봉,무주 덕유산국립공원의 1박2일과 향적봉대피소,M,2,,,      ,          ,,충북,청주시 상당구,율량동,
북한산 대피소,북한산 산성입구~중흥사~북한산대피소~백운봉암문~밤골(190803). ,F,4,기타 ,300~399만원,아니오,          ,오피스텔,서울,강남구,역삼동,
한라산 진달래밭,제주 한라산 성판악-속밭쉼터-진달래밭 대피소...제주도,F,3,,,      ,          ,,경기,부천시 원미구,역곡동,
소백산 연화봉,소백산 제2연화봉 대피소 숙박산행,M,3,"사무직 (일반사무직, 공무원, 직업군인)",200~299만원,예    ,자녀 없음 ,연립주택/ 다세대/ 빌라,인천,서구,석남3동,"준중형SUV (투싼, 스포티지, QM5, 티구안급 등)"
지리산 노고단,지리산 노고단 대피소의 하룻밤,F,4,,,      ,          ,,서울,성북구,석관동,
지리산 장터목,[지리산/백무동코스/천왕봉/장터목대피소/국내여행] 1박2일 지리산 막바지 가을산행길 (ft. 가을고생길),M,2,"전문직 (의사, 판검사, 예술가, 종교인)","1,000만원 이상",아니오,          ,단독주택,부산,연제구,거제4동,"중형차 (쏘나타, K5, 말리부, 골프급 등)"
설악산 소청,설악산 소청대피소에서 하룻밤 (2019. 6.14~15),F,2,"사무직 (일반사무직, 공무원, 직업군인)",300~399만원,아니오,          ,오피스텔,경기,수원시 팔달구,고등동,
덕유산 향적봉,덕유산 향적봉대피소 기적의 1박,M,2,,,      ,          ,,광주,서구,화정4동,
지리산 장터목,[지리산/백무동코스/천왕봉/장터목대피소/국내여행] 1박2일 지리산 막바지 가을산행길 (ft. 가을고생길),M,4,,,      ,          ,,충남,천안시 서북구,백석동,
소백산 연화봉,소백산 국립공원 등산 - 코스 : 죽령 탐방지원센터 - 제2연화봉/연화봉 대피소,M,5,,,      ,          ,,경남,김해시,외동,
한라산 진달래밭,한라산 탐방/관음사~개미등~삼각봉~백록담~진달래대피소~성판악,M,5,,,      ,          ,,전남,고흥군,도덕면,
한라산 진달래밭,한라산 성판악&쑥대밭대피소&사라오름&진달래대피소&성판악코스,F,4,,,      ,          ,,,,,
설악산 소청,설악산 소청대피소에서 하룻밤 (2019. 6.14~15),F,2,"전문직 (의사, 판검사, 예술가, 종교인)","1,000만원 이상",아니오,          ,아파트/ 주상복합,서울,은평구,진관동,
지리산 치밭목,2018-07-18 지리산 새재마을~치밭목대피소,M,4,,,      ,          ,,서울,중랑구,중화1동,
북한산 대피소,북한산 밤골~백운대~북한산대피소~산성입구(191003).,F,5,,,      ,          ,,경기,구리시,수택2동,
한라산 진달래밭,한라산 탐방/관음사~개미등~삼각봉~백록담~진달래대피소~성판악,M,5,"전문직 (의사, 판검사, 예술가, 종교인)",500~599만원,예    ,자녀 있음 ,단독주택,서울,용산구,동빙고동,"프리미엄 (에쿠스, BMW7급 등)"
한라산 탐라계곡,한라산(관음사 탐방 안내소~탐라계곡 대피소~삼각봉 대피소~한라산~진달래 밭 대피소~속밭 대피소~성판악. 180831.금),M,3,,,      ,          ,,서울,구로구,개봉2동,
오대산 노인봉,[안내산악회] 2019년 05월 18일 강원도 강릉 오대산 노인봉,M,2,무직,100~199만원,아니오,          ,아파트/ 주상복합,경기,남양주시,와부읍,"경차 (모닝, 스파크 등)"
소백산 연화봉,겨울 소백산 1박2일 천동 에서 죽령 휴게소 까지 (제2 연화봉 대피소),M,5,,,      ,          ,,경기,파주시,광탄면,
한라산 진달래밭,한라산 탐방/관음사~개미등~삼각봉~백록담~진달래대피소~성판악,M,4,,,      ,          ,,경기,시흥시,정왕동,
한라산 삼각봉,제주도 한라산 5 산우물 4월 산행 한라산 삼각봉 대피소 개미등 탐라계곡 육교 관음사,F,4,,,      ,          ,,경기,성남시 분당구,정자동,
한라산 진달래밭,제주 한라산 성판악-속밭쉼터-진달래밭 대피소...제주도,M,4,,,      ,          ,,경기,화성시,안녕동,
설악산 소청,설악산 소청 대피소 예약 당첨,F,3,,,      ,          ,,경기,부천시 원미구,역곡동,
지리산 치밭목,지리산(대원사-새재-치밭목대피소-천왕봉),M,3,무직,100만원 미만,아니오,          ,아파트/ 주상복합,대구,중구,대신동,
한라산 진달래밭,[이색 휴게소] 한라산 성판악 진달래 휴게소 = 진달래밭 대피소,M,3,"사무직 (일반사무직, 공무원, 직업군인)",200~299만원,아니오,          ,연립주택/ 다세대/ 빌라,서울,강동구,성내3동,"경차 (모닝, 스파크 등)"
북한산 대피소,7.27(토) 북한산 문수봉. 북한산대피소,M,3,,,      ,          ,,서울,강북구,삼각산동,"중형SUV (싼타페, 쏘렌토, 캡티바, BMW X3급 등)"
지리산 장터목,지리산 장터목대피소 예약 성공 백무동 중산리코스,M,2,"학생 (초중고학생, 대학생, 대학원생)",200~299만원,아니오,          ,아파트/ 주상복합,경남,진주시,금산면,
설악산 양폭,설악산(소공원에서 양폭대피소까지) 2018.6.12,M,2,퇴직/연금생활자,100만원 미만,아니오,          ,오피스텔,서울,강남구,개포1동,
덕유산 향적봉,무주 덕유산 곤도라타고 향적봉 대피소에서 1박하는 방법 :) 곤도라 요금/ 대피소 예약 및 정보 / 생생한 후기 총 정리!!,F,4,"교직 (교사, 유치원교사, 학원강사)",300~399만원,예    ,자녀 있음 ,아파트/ 주상복합,경기,파주시,문산읍,"준대형차 (그랜저, K7, 알페온, 캠리급, 파사트급 등)"
지리산 노고단,지리산 등산코스 화엄사-노고단-노고단대피소(1박)-반야봉-피아골-직전마을 /단풍이 절정,M,5,,,      ,          ,,인천,계양구,계산1동,
지리산 세석,지리산/백무동에서 세석대피소,F,5,"사무직 (일반사무직, 공무원, 직업군인)",300~399만원,예    ,자녀 있음 ,아파트/ 주상복합,대전,중구,문화1동,"준중형차 (아반떼, K3, 크루즈, 제타급 등)"
한라산 진달래밭,10. 한라산(1) - 성판악에서 진달래밭대피소까지 [2019 제주도 여행기],M,3,,,      ,          ,,경기,파주시,광탄면,
한라산 진달래밭,한라산 성판악&쑥대밭대피소&사라오름&진달래대피소&성판악코스,F,3,,,      ,          ,,서울,송파구,잠실3동,
지리산 노고단,지리산 등산코스 화엄사-노고단-노고단대피소(1박)-반야봉-피아골-직전마을 /단풍이 절정,M,2,,,      ,          ,,경기,군포시,당동,
한라산 진달래밭,[이색 휴게소] 한라산 성판악 진달래 휴게소 = 진달래밭 대피소,M,2,"생산/노무직 (생산감독, 경비원, 공장근로자)",100~199만원,아니오,          ,아파트/ 주상복합,경기,수원시 영통구,영통2동,
지리산 세석,지리산/백무동에서 세석대피소,M,3,,,      ,          ,,충북,진천군,광혜원면,
덕유산 삿갓골재,덕유산 1박2일 (설천봉~삿갓재대피소~남덕유산),F,2,"전문직 (의사, 판검사, 예술가, 종교인)",200~299만원,아니오,          ,아파트/ 주상복합,인천,계양구,계산동,
지리산 장터목,[초보등산/천왕봉일출] 지리산 천왕봉 코스 with 장터목대피소,M,3,"사무직 (일반사무직, 공무원, 직업군인)",500~599만원,예    ,자녀 없음 ,아파트/ 주상복합,경기,용인시 수지구,풍덕천1동,"준중형차 (아반떼, K3, 크루즈, 제타급 등)"
지리산 장터목,[지리산/백무동코스/천왕봉/장터목대피소/국내여행] 1박2일 지리산 막바지 가을산행길 (ft. 가을고생길),M,3,"학생 (초중고학생, 대학생, 대학원생)",400~499만원,아니오,          ,아파트/ 주상복합,부산,금정구,장전1동,"경차 (모닝, 스파크 등)"
소백산 연화봉,흰 꽃들이 많이 피어 있었던 소백산 제2연화봉 대피소 가는 길 그리고 맛있게 먹은 저녁식사 20190601,M,5,"자영업 (도소매업, 숙박업, 미용업)",800~899만원,예    ,자녀 있음 ,아파트/ 주상복합,경기,고양시 덕양구,원흥동,"MPV (카니발, 올란도, 피카소급, 오딧세이 등)"
덕유산 향적봉,무주 덕유산국립공원의 1박2일과 향적봉대피소,F,4,,,      ,          ,,전남,광양시,중동,
지리산 세석,[대중교통으로 찾은 지리산 성중종주] 첫째날 성삼재에서 세석대피소까지 약 20km를 놀며쉬며 여유로운 산행했다,F,4,"주부 (전업주부, 파트타임 근무 주부)",100만원 미만,예    ,자녀 있음 ,아파트/ 주상복합,충남,천안시 서북구,백석동,
소백산 연화봉,겨울 소백산 1박2일 천동 에서 죽령 휴게소 까지 (제2 연화봉 대피소),M,3,"전문직 (의사, 판검사, 예술가, 종교인)","1,000만원 이상",아니오,          ,단독주택,경남,진주시,상봉동동,"대형SUV (베라크루즈, 모하비, 투아렉급 등)"
덕유산 향적봉,무주 덕유산 곤도라타고 향적봉 대피소에서 1박하는 방법 :) 곤도라 요금/ 대피소 예약 및 정보 / 생생한 후기 총 정리!!,M,4,,,      ,          ,,경기,고양시 덕양구,관산동,
지리산 장터목,지리산 장터목 대피소 예약 천왕봉 코스,F,2,,,      ,          ,,인천,남구,주안7동,
한라산 진달래밭,가을제주여행 메일! 한라산정상 등산코스 성판악-진달래밭대피소-백록담(8시간소요+꿀팁),M,2,,,      ,          ,,대구,달성군,다사읍,
지리산 노고단,지리산 노고단 대피소의 하룻밤,M,2,"학생 (초중고학생, 대학생, 대학원생)",600~699만원,아니오,          ,아파트/ 주상복합,강원,춘천시,근화동,"준중형차 (아반떼, K3, 크루즈, 제타급 등)"
지리산 피아골,지리산 피아골 대피소 가는길,M,4,,,      ,          ,,경기,부천시 원미구,상1동,
설악산 중청,설악산(중청대피소~공룡능선)간 풍경,M,5,"자영업 (도소매업, 숙박업, 미용업)",200~299만원,아니오,          ,연립주택/ 다세대/ 빌라,경남,김해시,안동,
지리산 장터목,[초보등산/천왕봉일출] 지리산 천왕봉 코스 with 장터목대피소,M,4,,,      ,          ,,서울,동작구,신대방1동,
한라산 진달래밭,#성판악 #속대밭대피소 #사라오름 #진달래밭대피소 #한라산 #백록담,M,2,,,      ,          ,,경기,고양시 일산서구,일산2동,
오대산 노인봉,오대산 노인봉 소금강 겨울 등산코스로의 산행 / 2부 노인봉대피소~소금강,F,4,"주부 (전업주부, 파트타임 근무 주부)",400~499만원,예    ,자녀 있음 ,단독주택,전북,군산시,경암동,"경차 (모닝, 스파크 등)"
북한산 대피소,용암사지터(북한산대피소),M,3,"사무직 (일반사무직, 공무원, 직업군인)",300~399만원,아니오,          ,아파트/ 주상복합,서울,성동구,응봉동,"준중형차 (아반떼, K3, 크루즈, 제타급 등)"
지리산 치밭목,지리산(대원사-새재-치밭목대피소-천왕봉),F,2,"생산/노무직 (생산감독, 경비원, 공장근로자)",200~299만원,아니오,          ,연립주택/ 다세대/ 빌라,경기,이천시,부발읍,"준중형SUV (투싼, 스포티지, QM5, 티구안급 등)"
북한산 대피소,북한산 밤골~백운대~북한산대피소~산성입구(191003).,F,5,,,      ,          ,,서울,송파구,거여1동,
덕유산 향적봉,덕유산 향적봉대피소 예약하기(컴),M,2,"학생 (초중고학생, 대학생, 대학원생)",500~599만원,아니오,          ,연립주택/ 다세대/ 빌라,경기,수원시 영통구,이의동,
설악산 중청,설악산 대청봉 1박 일출 산행 (중청대피소 3대의 덕),M,3,기타 ,200~299만원,아니오,          ,연립주택/ 다세대/ 빌라,서울,성동구,금호동4가,
소백산 연화봉,겨울 소백산 1박2일 천동 에서 죽령 휴게소 까지 (제2 연화봉 대피소),F,2,"학생 (초중고학생, 대학생, 대학원생)",300~399만원,아니오,          ,아파트/ 주상복합,경기,광명시,철산동,
설악산 소청,설악산 백담사~소청대피소 (5/19~21)/ 첫째날,M,3,"생산/노무직 (생산감독, 경비원, 공장근로자)",100만원 미만,아니오,          ,기타 ,서울,은평구,신사2동,
소백산 연화봉,[등산 No.17] 소백산 산행(연화봉대피소) 천동/비로봉/죽령(18/01/27 ~28일),M,3,"사무직 (일반사무직, 공무원, 직업군인)",400~499만원,예    ,자녀 없음 ,아파트/ 주상복합,경기,남양주시,도농동,"중형차 (쏘나타, K5, 말리부, 골프급 등)"
오대산 노인봉,오대산 노인봉 소금강 겨울 등산코스로의 산행 / 2부 노인봉대피소~소금강,M,4,,,      ,          ,,대전,서구,내동,
설악산 중청,설악산 중청대피소 판매 물품 및 상세 이용 정보,M,3,"자영업 (도소매업, 숙박업, 미용업)",300~399만원,예    ,자녀 없음 ,아파트/ 주상복합,대구,북구,칠성동2가,"준대형차 (그랜저, K7, 알페온, 캠리급, 파사트급 등)"
소백산 연화봉,흰 꽃들이 많이 피어 있었던 소백산 제2연화봉 대피소 가는 길 그리고 맛있게 먹은 저녁식사 20190601,M,2,,,      ,          ,,서울,영등포구,문래동6가,
지리산 세석,지리산/백무동에서 세석대피소,M,2,,,      ,          ,,서울,성북구,종암동,
한라산 진달래밭,한라산 겨울 산행 / 진달래 대피소 / 한라산 백록담,M,3,"사무직 (일반사무직, 공무원, 직업군인)",400~499만원,예    ,자녀 있음 ,아파트/ 주상복합,부산,해운대구,좌2동,"준중형차 (아반떼, K3, 크루즈, 제타급 등)"
한라산 진달래밭,한라산(관음산 탐방지원센터~삼각봉대피소~한라산~진달래밭 대피소~사라오름~쑥밭 대피소~성판악 탐방지원 센터. 190804. 일),F,3,"사무직 (일반사무직, 공무원, 직업군인)",400~499만원,예    ,자녀 없음 ,아파트/ 주상복합,경기,고양시 덕양구,행신2동,"준중형SUV (투싼, 스포티지, QM5, 티구안급 등)"
지리산 세석,지리산 세석대피소 1박2일,F,4,"사무직 (일반사무직, 공무원, 직업군인)",400~499만원,예    ,자녀 있음 ,아파트/ 주상복합,경기,평택시,이충동,"준중형SUV (투싼, 스포티지, QM5, 티구안급 등)"
소백산 연화봉,겨울 소백산 1박2일 천동 에서 죽령 휴게소 까지 (제2 연화봉 대피소),F,2,,,      ,          ,,서울,강북구,송중동,
북한산 대피소,7.27(토) 북한산 문수봉. 북한산대피소,F,4,"서비스직 (요식업, 숙박업, 미용실종업원)",500~599만원,아니오,          ,단독주택,서울,동작구,사당1동,
설악산 소청,설악산 소청 대피소 예약 당첨,M,4,,,      ,          ,,서울,은평구,갈현2동,
소백산 연화봉,겨울 소백산 1박2일 천동 에서 죽령 휴게소 까지 (제2 연화봉 대피소),M,4,"관리직 (사장, 간부, 고위공무원)",600~699만원,예    ,자녀 없음 ,아파트/ 주상복합,경기,평택시,청북면,"대형SUV (베라크루즈, 모하비, 투아렉급 등)"
설악산 양폭,설악산(소공원에서 양폭대피소까지) 2018.6.12,M,2,"학생 (초중고학생, 대학생, 대학원생)",200~299만원,아니오,          ,단독주택,서울,서대문구,대현동,
설악산 중청,설악산 대청봉 중청대피소 숙박,F,3,"사무직 (일반사무직, 공무원, 직업군인)",500~599만원,예    ,자녀 없음 ,연립주택/ 다세대/ 빌라,서울,마포구,성산1동,"중형차 (쏘나타, K5, 말리부, 골프급 등)"
한라산 진달래밭,[이색 휴게소] 한라산 성판악 진달래 휴게소 = 진달래밭 대피소,M,2,,,      ,          ,,서울,마포구,상수동,
지리산 장터목,14일 지리산 장터목대피소 상고대 장관,M,4,,,      ,          ,,서울,강서구,방화2동,
소백산 연화봉,[등산 No.17] 소백산 산행(연화봉대피소) 천동/비로봉/죽령(18/01/27 ~28일),F,4,,,      ,          ,,강원,홍천군,홍천읍,
지리산 세석,[지리산 국립공원] 지리산 세석대피소 처음 이용자를 위한 소개(정보)글,F,3,"서비스직 (요식업, 숙박업, 미용실종업원)",800~899만원,아니오,          ,아파트/ 주상복합,경기,고양시 일산동구,장항2동,
북한산 대피소,북한산 대피소 / 19.10.24,M,4,,,      ,          ,,전남,여수시,화장동,
덕유산 향적봉,무주 덕유산국립공원의 1박2일과 향적봉대피소,M,2,,,      ,          ,,부산,동래구,명장동,
소백산 연화봉,[등산] 소백산-연화봉대피소,M,2,,,      ,          ,,서울,강동구,고덕1동,
지리산 치밭목,2018-07-18 지리산 새재마을~치밭목대피소,F,3,"교직 (교사, 유치원교사, 학원강사)",400~499만원,예    ,자녀 있음 ,아파트/ 주상복합,경기,수원시 장안구,천천동,"소형차 (액센트, 프라이드, 아베오, 피아트급 등)"
지리산 연하천,지리산 종주 #2 연하천대피소-형제봉-칠선봉-세석대피소-촛대봉-연하봉-장터목대피소,M,2,"사무직 (일반사무직, 공무원, 직업군인)",100~199만원,아니오,          ,아파트/ 주상복합,경기,양주시,백석읍,
한라산 윗세,[제주 한라산] 영실 - 윗세오름대피소 - 어리목,M,3,,,      ,          ,,경기,부천시 오정구,여월동,
소백산 연화봉,소백산(제2연화봉 대피소),M,2,,,      ,          ,,서울,영등포구,문래동6가,
북한산 대피소,20190421 북한산 진달래능선 - 북한산대피소 - 산성입구,M,3,,,      ,          ,,대전,동구,용운동,
지리산 세석,지리산 세석대피소에서 장터목대피소을 향해,M,4,,,      ,          ,,서울,구로구,구로2동,
소백산 연화봉,소백산 국립공원 등산 - 코스 : 죽령 탐방지원센터 - 제2연화봉/연화봉 대피소,M,3,"생산/노무직 (생산감독, 경비원, 공장근로자)",200~299만원,예    ,자녀 있음 ,연립주택/ 다세대/ 빌라,경기,수원시 권선구,권선동,
한라산 윗세,[제주 한라산] 영실 - 윗세 오름 대피소 - 어리목,M,3,"생산/노무직 (생산감독, 경비원, 공장근로자)",200~299만원,예    ,자녀 있음 ,연립주택/ 다세대/ 빌라,경기,수원시 권선구,권선동,
지리산 노고단,#오스프리 #AURA #xCREW #기어리뷰어 지리산 노고단 대피소 1박 2일 _2018 12 01_02,F,3,"전문직 (의사, 판검사, 예술가, 종교인)",600~699만원,예    ,자녀 있음 ,아파트/ 주상복합,경기,수원시 권선구,권선동,"중형SUV (싼타페, 쏘렌토, 캡티바, BMW X3급 등)"
한라산 진달래밭,한라산 탐방/관음사~개미등~삼각봉~백록담~진달래대피소~성판악,M,5,,,      ,          ,,인천,계양구,계산1동,
지리산 장터목,[초보등산/천왕봉일출] 지리산 천왕봉 코스 with 장터목대피소,M,4,,,      ,          ,,서울,중랑구,면목2동,
한라산 윗세,[한라산] 영실~윗세오름 대피소 (2019.2.5),F,4,"주부 (전업주부, 파트타임 근무 주부)",500~599만원,예    ,자녀 있음 ,아파트/ 주상복합,경기,군포시,당동,"준중형차 (아반떼, K3, 크루즈, 제타급 등)"
한라산 삼각봉,제주도 한라산 5 산우물 4월 산행 한라산 삼각봉 대피소 개미등 탐라계곡 육교 관음사,F,4,,,      ,          ,,경기,수원시 장안구,이목동,
덕유산 삿갓골재,덕유산 1박2일 (설천봉~삿갓재대피소~남덕유산),M,4,,,      ,          ,,전남,여수시,화장동,
지리산 연하천,지리산 종주<2일차> : 연하천-세석대피소,M,2,"학생 (초중고학생, 대학생, 대학원생)",100~199만원,아니오,          ,아파트/ 주상복합,대전,유성구,봉명동,
한라산 윗세,[제주 한라산] 영실 - 윗세오름대피소 - 어리목,F,5,"주부 (전업주부, 파트타임 근무 주부)",700~799만원,예    ,자녀 있음 ,단독주택,서울,광진구,구의2동,
한라산 윗세,[제주도] 2018년 10월: 한라산 영실코스 (윗세 오름 대피소 남벽분기점 영실통제소),F,2,"사무직 (일반사무직, 공무원, 직업군인)",300~399만원,아니오,          ,아파트/ 주상복합,경기,남양주시,별내면,
소백산 연화봉,소백산 국립공원 등산 - 코스 : 죽령 탐방지원센터 - 제2연화봉/연화봉 대피소,M,3,,,      ,          ,,서울,송파구,석촌동,
한라산 진달래밭,한라산 탐방/관음사~개미등~삼각봉~백록담~진달래대피소~성판악,M,5,"생산/노무직 (생산감독, 경비원, 공장근로자)",400~499만원,예    ,자녀 있음 ,아파트/ 주상복합,인천,서구,불로동,
지리산 노고단,지리산 노고단 대피소의 하룻밤,M,3,"생산/노무직 (생산감독, 경비원, 공장근로자)",300~399만원,예    ,자녀 없음 ,아파트/ 주상복합,인천,서구,연희동,"중형SUV (싼타페, 쏘렌토, 캡티바, BMW X3급 등)"
한라산 속밭,폭설뒤의 한라산.(성판악~속밭대피소),M,4,"생산/노무직 (생산감독, 경비원, 공장근로자)",300~399만원,예    ,자녀 없음 ,아파트/ 주상복합,광주,광산구,도천동,"중형차 (쏘나타, K5, 말리부, 골프급 등)"
한라산 속밭,폭설뒤의 한라산.(성판악~속밭대피소),M,3,"전문직 (의사, 판검사, 예술가, 종교인)","1,000만원 이상",아니오,          ,단독주택,경남,진주시,상봉동동,"대형SUV (베라크루즈, 모하비, 투아렉급 등)"
소백산 연화봉,소백산(제2연화봉 대피소),F,2,,,      ,          ,,서울,강남구,논현동,
한라산 윗세,[제주 한라산] 영실 - 윗세 오름 대피소 - 어리목,M,5,기타 ,100~199만원,아니오,          ,아파트/ 주상복합,경북,경산시,중산동,"준대형차 (그랜저, K7, 알페온, 캠리급, 파사트급 등)"
덕유산 삿갓골재,덕유산 육십령 ~ 삿갓재대피소 ~ 황점마을(201908310901),F,3,"주부 (전업주부, 파트타임 근무 주부)",200~299만원,예    ,자녀 있음 ,아파트/ 주상복합,경기,의정부시,낙양동,
지리산 치밭목,지리산(대원사-새재-치밭목대피소-천왕봉),F,3,"사무직 (일반사무직, 공무원, 직업군인)",500~599만원,예    ,자녀 있음 ,아파트/ 주상복합,경기,의정부시,의정부1동,
한라산 윗세,[제주 한라산] 영실 - 윗세 오름 대피소 - 어리목,F,5,"주부 (전업주부, 파트타임 근무 주부)",300~399만원,예    ,자녀 있음 ,아파트/ 주상복합,경북,포항시 북구,우현동,
지리산 장터목,지리산 장터목 대피소 예약 천왕봉 코스,M,2,"학생 (초중고학생, 대학생, 대학원생)",200~299만원,아니오,          ,아파트/ 주상복합,경기,남양주시,별내면,
지리산 연하천,지리산 종주<2일차> : 연하천-세석대피소,M,3,,,      ,          ,,경기,의정부시,의정부1동,
설악산 양폭,설악산 양폭대피소에서 잠을 청하고 싶다.,F,3,"사무직 (일반사무직, 공무원, 직업군인)",400~499만원,예    ,자녀 없음 ,아파트/ 주상복합,경기,고양시 덕양구,행신2동,"준중형SUV (투싼, 스포티지, QM5, 티구안급 등)"
한라산 진달래밭,한라산(성판악~사라오름~진달래대피소~백록담~관음사)2019.01.29,F,2,,,      ,          ,,경기,안산시 상록구,본오동,
지리산 연하천,지리산 종주<2일차> : 연하천-세석대피소,F,2,,,      ,          ,,강원,춘천시,석사동,
한라산 진달래밭,한라산 겨울 산행 / 진달래 대피소 / 한라산 백록담,M,2,,,      ,          ,,인천,중구,항동7가,
지리산 노고단,지리산 노고단 대피소 숙박하고 정상까지 - 아이와 함께,F,4,,,      ,          ,,부산,연제구,거제동,
소백산 연화봉,흰 꽃들이 많이 피어 있었던 소백산 제2연화봉 대피소 가는 길 그리고 맛있게 먹은 저녁식사 20190601,M,5,,,      ,          ,,충북,충주시,호암동,
소백산 연화봉,[등산] 소백산-연화봉대피소,F,5,,,      ,          ,,서울,강북구,번동,
지리산 치밭목,지리산(대원사-새재-치밭목대피소-천왕봉),F,4,,,      ,          ,,서울,영등포구,당산동3가,
덕유산 삿갓골재,덕유산 1박2일 (설천봉~삿갓재대피소~남덕유산),M,2,"사무직 (일반사무직, 공무원, 직업군인)",100~199만원,아니오,          ,기타 ,경남,창원시 의창구,도계동,"대형차 (제너시스, BMW5급 등)"
설악산 수렴동,<설악산 등산> 백담사- 영시암-수렴동대피소-봉정남,M,3,,,      ,          ,,서울,용산구,이촌동,
설악산 중청,설악산 중청대피소 단계적 폐쇄,F,3,"사무직 (일반사무직, 공무원, 직업군인)",500~599만원,예    ,자녀 있음 ,아파트/ 주상복합,경기,의정부시,의정부1동,
한라산 진달래밭,#성판악 #속대밭대피소 #사라오름 #진달래밭대피소 #한라산 #백록담,M,5,"생산/노무직 (생산감독, 경비원, 공장근로자)",200~299만원,예    ,자녀 있음 ,연립주택/ 다세대/ 빌라,경기,남양주시,와부읍,"중형차 (쏘나타, K5, 말리부, 골프급 등)"
지리산 노고단,지리산 노고단 대피소 숙박하고 정상까지 - 아이와 함께,M,4,"사무직 (일반사무직, 공무원, 직업군인)",400~499만원,예    ,자녀 있음 ,아파트/ 주상복합,서울,송파구,가락1동,"중형SUV (싼타페, 쏘렌토, 캡티바, BMW X3급 등)"
소백산 연화봉,소백산 제2연화봉 대피소의 모든 것,M,3,,,      ,          ,,서울,서초구,반포1동,
지리산 세석,지리산 세석대피소에서 장터목대피소을 향해,M,4,,,      ,          ,,서울,강서구,방화2동,
소백산 연화봉,소백산 제2연화봉 대피소 숙박산행,M,4,"사무직 (일반사무직, 공무원, 직업군인)",500~599만원,아니오,          ,연립주택/ 다세대/ 빌라,경기,광명시,광명6동,"중형차 (쏘나타, K5, 말리부, 골프급 등)"
소백산 연화봉,소백산 제2연화봉 대피소의 모든 것,F,5,"주부 (전업주부, 파트타임 근무 주부)","1,000만원 이상",예    ,자녀 있음 ,단독주택,서울,도봉구,방학2동,"중형차 (쏘나타, K5, 말리부, 골프급 등)"
지리산 피아골,지리산 피아골 대피소 가는길,M,5,,,      ,          ,,서울,강남구,개포동,
덕유산 향적봉,덕유산 향적봉대피소 기적의 1박,M,3,"학생 (초중고학생, 대학생, 대학원생)",400~499만원,아니오,          ,아파트/ 주상복합,부산,금정구,장전1동,"경차 (모닝, 스파크 등)"
덕유산 삿갓골재,덕유산 1박2일 (설천봉~삿갓재대피소~남덕유산),M,4,,,      ,          ,,경기,고양시 일산서구,일산동,
설악산 양폭,설악산(소공원에서 양폭대피소까지) 2018.6.12,M,4,"사무직 (일반사무직, 공무원, 직업군인)",500~599만원,예    ,자녀 있음 ,아파트/ 주상복합,경기,안산시 상록구,사동,"대형SUV (베라크루즈, 모하비, 투아렉급 등)"
오대산 노인봉,[안내산악회] 2019년 05월 18일 강원도 강릉 오대산 노인봉,M,4,"기능직 (자동차정비, 운전기사, 안경사, 택시기사)",500~599만원,예    ,자녀 있음 ,아파트/ 주상복합,서울,성북구,동소문동4가,"준중형SUV (투싼, 스포티지, QM5, 티구안급 등)"
소백산 연화봉,흰 꽃들이 많이 피어 있었던 소백산 제2연화봉 대피소 가는 길 그리고 맛있게 먹은 저녁식사 20190601,M,3,"생산/노무직 (생산감독, 경비원, 공장근로자)",300~399만원,예    ,자녀 없음 ,아파트/ 주상복합,인천,서구,연희동,"중형SUV (싼타페, 쏘렌토, 캡티바, BMW X3급 등)"
설악산 소청,설악산 소청대피소에서 하룻밤 (2019. 6.14~15),F,4,"주부 (전업주부, 파트타임 근무 주부)",500~599만원,예    ,자녀 있음 ,아파트/ 주상복합,서울,마포구,마포동,
설악산 양폭,설악산(소공원에서 양폭대피소까지) 2018.6.12,M,5,기타 ,300~399만원,예    ,자녀 있음 ,아파트/ 주상복합,경기,평택시,장안동,"중형차 (쏘나타, K5, 말리부, 골프급 등)"
지리산 장터목,지리산 장터목대피소 블약 100대명산 천왕봉,M,4,"자영업 (도소매업, 숙박업, 미용업)",100~199만원,아니오,          ,단독주택,경북,성주군,선남면,
북한산 대피소,북한산 밤골~백운대~북한산대피소~산성입구(191003).,M,3,"생산/노무직 (생산감독, 경비원, 공장근로자)",100만원 미만,아니오,          ,기타 ,서울,은평구,신사2동,
설악산 소청,설악산 소청 대피소 예약 당첨,F,2,"전문직 (의사, 판검사, 예술가, 종교인)","1,000만원 이상",예    ,자녀 있음 ,아파트/ 주상복합,대구,북구,태전동,"대형차 (제너시스, BMW5급 등)"
