주변관광,사이트제목,성별,연령,직업,소득,결혼,자녀,주거,시도,구,동,자동차
덕산온천,짧은 나들이 덕산온천여행 선물처럼 만난 코스모스,F,4,,,      ,          ,,울산,중구,다운동,
한탄강,한탄강 유원지 : 네이버 통합검색,M,3,,,      ,          ,,인천,중구,중산동,
궁평,궁평의 마을,M,5,,,      ,          ,,서울,동작구,사당1동,
안동하회,안동하회마을 무료공연 하회별신굿탈놀이 부용대,M,3,"사무직 (일반사무직, 공무원, 직업군인)",500~599만원,아니오,          ,연립주택/ 다세대/ 빌라,인천,계양구,작전동,
등명,강릉 해수욕장 추천 작지만 편안한 등명해변등명해수욕장,F,4,"사무직 (일반사무직, 공무원, 직업군인)",500~599만원,예    ,자녀 없음 ,연립주택/ 다세대/ 빌라,서울,중랑구,면목2동,
안동문화,191125 1박 2일 안동 여행  세계문화유산 도산서원,M,2,,,      ,          ,,경기,수원시 권선구,권선동,
성산포해양,설 구정에 어머니와 함께 성산포 성당 광치기해변 제주해양동물박물관 겨울 유채꽃 2월 제주,M,2,,,      ,          ,,서울,관악구,삼성동,
평택호,평택호텔  그랜드호텔 평택호 뷰를 볼 수 있는 호텔 추천,M,5,,,      ,          ,,경기,용인시 수지구,풍덕천2동,
호미곶,포항펜션 두남자와 함께했던 코지스위트펜션 죽도시장호미곶,M,4,"전문직 (의사, 판검사, 예술가, 종교인)",500~599만원,아니오,          ,아파트/ 주상복합,서울,서초구,우면동,"준중형차 (아반떼, K3, 크루즈, 제타급 등)"
알펜시아,강원도여행 평창 알펜시아 홀리데이인스위트 투베드룸과 오션700 워터파크,M,3,기타 ,400~499만원,예    ,자녀 없음 ,아파트/ 주상복합,서울,강남구,대치동,"준중형차 (아반떼, K3, 크루즈, 제타급 등)"
예천삼강,대구근교 가볼만하곳 더예천 삼강문화단지위기의 삼강주막 방탈출게임,F,3,"사무직 (일반사무직, 공무원, 직업군인)",200~299만원,아니오,          ,오피스텔,경기,성남시 분당구,정자동,
약수암,도당산시사재 대광사 약수암,F,5,기타 ,400~499만원,예    ,자녀 있음 ,아파트/ 주상복합,서울,노원구,공릉2동,
한탄강,철원 카페  송대소 주상절리 한탄강을 배경으로 커피한잔에 빠져보는 모닝캄빌리지 펜션  카페,M,4,"사무직 (일반사무직, 공무원, 직업군인)",600~699만원,예    ,자녀 있음 ,연립주택/ 다세대/ 빌라,서울,동작구,대방동,"중형차 (쏘나타, K5, 말리부, 골프급 등)"
사선대,선녀들도 반한 국민 관광지 임실 사선대  임실 나들이 명소,F,4,"주부 (전업주부, 파트타임 근무 주부)",400~499만원,예    ,자녀 있음 ,아파트/ 주상복합,경기,고양시 덕양구,신원동,"준중형차 (아반떼, K3, 크루즈, 제타급 등)"
마이산회봉온천,마이산회봉온천 새 희망 날개 활짝 폈다,M,3,"사무직 (일반사무직, 공무원, 직업군인)",800~899만원,예    ,자녀 없음 ,아파트/ 주상복합,서울,영등포구,당산동3가,"중형차 (쏘나타, K5, 말리부, 골프급 등)"
삼포문암,고성  삼포문암진해변 개발,F,4,"교직 (교사, 유치원교사, 학원강사)",600~699만원,예    ,자녀 있음 ,아파트/ 주상복합,경북,포항시 북구,양덕동,"준중형차 (아반떼, K3, 크루즈, 제타급 등)"
연등사,연등사경북 봉화군 석포면,M,4,"사무직 (일반사무직, 공무원, 직업군인)",300~399만원,아니오,          ,아파트/ 주상복합,경기,고양시 덕양구,도내동,
산정호수,초가을의 야유회-포천의 볼거리(비둘기낭 폭포)놀거리(산정호수)먹거리(신선대 유원지)등을 충족한 당일여행코스..!!~ : 네이버 블로그,M,5,,,      ,          ,,서울,송파구,잠실6동,
성도사,“여성도 사람… ... :: 네이버 뉴스,M,4,"사무직 (일반사무직, 공무원, 직업군인)",600~699만원,예    ,자녀 있음 ,연립주택/ 다세대/ 빌라,서울,영등포구,도림동,"준중형차 (아반떼, K3, 크루즈, 제타급 등)"
거가대교,가덕도 가볼 만한 곳 연대봉 세계 최대 수심 해저터널 거가대교,M,3,,,      ,          ,,광주,서구,상무동,
경산온천,경산온천상대온천좋아요,M,3,,,      ,          ,,경기,수원시 영통구,영통2동,
삼장사,20190516 성내동성당삼장사,M,3,"사무직 (일반사무직, 공무원, 직업군인)",400~499만원,예    ,자녀 있음 ,아파트/ 주상복합,경기,용인시 처인구,역북동,"중형차 (쏘나타, K5, 말리부, 골프급 등)"
백제가요정읍사,백제의 가요 정읍사 망한가로 새롭게 태어나다,F,4,"사무직 (일반사무직, 공무원, 직업군인)",400~499만원,예    ,자녀 있음 ,아파트/ 주상복합,서울,강동구,강일동,"준중형차 (아반떼, K3, 크루즈, 제타급 등)"
한국차소리문화공원,보성여행 보성차밭빛축제  한국차소리문화공원,F,3,"사무직 (일반사무직, 공무원, 직업군인)",400~499만원,예    ,자녀 없음 ,아파트/ 주상복합,경북,구미시,황상동,
청량사,가야산국립공원남산제일봉 청량사 원점회귀 등산코스,M,4,,,      ,          ,,충남,천안시 서북구,백석동,
예당,충남 예당저수지 예당호 출렁다리,M,4,"자영업 (도소매업, 숙박업, 미용업)","1,000만원 이상",예    ,자녀 있음 ,아파트/ 주상복합,부산,동래구,온천3동,"대형차 (제너시스, BMW5급 등)"
위봉사,한국의 산사 10898 완주 위봉사,F,2,,,      ,          ,,서울,은평구,불광동,
안동문화,191125 1박 2일 안동 여행  세계문화유산 도산서원,F,5,,,      ,          ,,서울,강남구,압구정동,
거제남부,거제 남부 해변길 걷기함목다대다포천장산여차여차홍포전망대홍포대포근포근포마을명사저구항,F,4,무직,200~299만원,아니오,          ,단독주택,서울,관악구,미성동,
삼척해수욕장,삼척여행 Part1삼척 하얀낭만펜션일미어담삼척해변,F,3,"주부 (전업주부, 파트타임 근무 주부)",300~399만원,예    ,자녀 있음 ,아파트/ 주상복합,인천,중구,운서동,
삽교호,당진 삽교호 한 바퀴,F,3,"사무직 (일반사무직, 공무원, 직업군인)",200~299만원,예    ,자녀 있음 ,연립주택/ 다세대/ 빌라,충남,아산시,염치읍,"경차 (모닝, 스파크 등)"
팜파스종합휴양,팜파스종합휴양관광단지,F,2,"학생 (초중고학생, 대학생, 대학원생)",700~799만원,아니오,          ,아파트/ 주상복합,서울,강서구,마곡동,
웰리힐리파크,웰리힐리파크 리프트권 및 록키스키 알파인 스키강습,M,5,,,      ,          ,,경기,동두천시,하봉암동,
흥룡사,포천여행 백운산 자락에 있는 흑룡사,F,4,,,      ,          ,,대구,북구,구암동,
장호,장호비치캠핑장 삼척여행,F,3,"사무직 (일반사무직, 공무원, 직업군인)",500~599만원,예    ,자녀 없음 ,아파트/ 주상복합,부산,금정구,구서동,
산정호수,산정호수 : 네이버 통합검색,F,4,"사무직 (일반사무직, 공무원, 직업군인)",400~499만원,예    ,자녀 있음 ,아파트/ 주상복합,서울,노원구,상계8동,
팜파스종합휴양,팜파스종합휴양관광단지,M,4,"사무직 (일반사무직, 공무원, 직업군인)",600~699만원,예    ,자녀 없음 ,아파트/ 주상복합,서울,강동구,암사2동,"준중형차 (아반떼, K3, 크루즈, 제타급 등)"
산정호수,포천 산정호수 갈비집 입이 즐거운 느낌 : 네이버 블로그,F,3,,,      ,          ,,제주,제주시,애월읍,
한탄강,포천 한탄강 하늘다리 : 네이버 통합검색,M,3,"기능직 (자동차정비, 운전기사, 안경사, 택시기사)",200~299만원,아니오,          ,단독주택,경기,수원시 권선구,세류동,"준중형SUV (투싼, 스포티지, QM5, 티구안급 등)"
한탄강,한탄강 하늘다리 식당 : 네이버 통합검색,F,5,"생산/노무직 (생산감독, 경비원, 공장근로자)",400~499만원,예    ,자녀 있음 ,아파트/ 주상복합,경기,구리시,인창동,
한탄강,한탄강 하늘다리 식당 : 네이버 통합검색,F,3,"전문직 (의사, 판검사, 예술가, 종교인)",200~299만원,예    ,자녀 없음 ,아파트/ 주상복합,경기,시흥시,조남동,"소형차 (액센트, 프라이드, 아베오, 피아트급 등)"
우수영,전라도 가볼만한곳 진도타워  우수영국민관광지 명량대첩기념관,M,4,"사무직 (일반사무직, 공무원, 직업군인)","1,000만원 이상",아니오,          ,단독주택,서울,광진구,중곡2동,"준대형차 (그랜저, K7, 알페온, 캠리급, 파사트급 등)"
거가대교,가덕도 가볼 만한 곳 연대봉 세계 최대 수심 해저터널 거가대교,M,4,"사무직 (일반사무직, 공무원, 직업군인)",800~899만원,예    ,자녀 있음 ,아파트/ 주상복합,경기,용인시 수지구,풍덕천2동,기타 (승합차/트럭/화물차/기타 차량 등)
칠갑산도립온천,칠갑산 도립공원 2,M,4,"전문직 (의사, 판검사, 예술가, 종교인)",100~199만원,아니오,          ,연립주택/ 다세대/ 빌라,서울,송파구,가락2동,
오수의견,전북 걷기 좋은 곳 전북 임실 오수의견공원,F,5,"자영업 (도소매업, 숙박업, 미용업)",500~599만원,아니오,          ,연립주택/ 다세대/ 빌라,서울,강남구,대치동,"준중형SUV (투싼, 스포티지, QM5, 티구안급 등)"
대전사,20183.09.12 대전사례관리 담당자 스터디모임 : 네이버 블로그,F,3,"사무직 (일반사무직, 공무원, 직업군인)",400~499만원,예    ,자녀 있음 ,아파트/ 주상복합,부산,중구,대청동4가,"준중형차 (아반떼, K3, 크루즈, 제타급 등)"
한탄강,포천 한탄강 하늘다리 : 네이버 통합검색,F,5,"서비스직 (요식업, 숙박업, 미용실종업원)",100~199만원,예    ,자녀 있음 ,아파트/ 주상복합,경남,김해시,삼계동,"경차 (모닝, 스파크 등)"
금강호,오천항 금강낚시 금강호 쭈꾸미 갑오징어 출조 조황 쭈갑 선상낚시 20191109,M,3,"생산/노무직 (생산감독, 경비원, 공장근로자)",300~399만원,예    ,자녀 있음 ,아파트/ 주상복합,경기,안양시 동안구,비산동,"준중형차 (아반떼, K3, 크루즈, 제타급 등)"
남당,[어린이체험학습 아그로랜드] 어린이체험학습... 충남 당진에 있는 아그로랜드 태신목장~<서해안가볼만한곳> : 네이버 블로그,F,4,"주부 (전업주부, 파트타임 근무 주부)",300~399만원,예    ,자녀 있음 ,아파트/ 주상복합,강원,춘천시,사농동,"경차 (모닝, 스파크 등)"
제주여성테마파크,제주아이들과가볼만한곳 서프라이즈테마파크,F,2,무직,900~999만원,아니오,          ,단독주택,대구,동구,용계동,
안면도,"안면도 맛집, 밀푀유꽃게전골이 있는 생생왕꽃게 & 카페바다 후기! : 네이버 카페",F,3,"사무직 (일반사무직, 공무원, 직업군인)",100~199만원,아니오,          ,아파트/ 주상복합,서울,성동구,하왕십리동,
안면도,태안 안면도 맛집 싱싱한 회 와 스끼다시 대박 푸짐한 성공 횟집 : 네이버 블로그,F,3,"사무직 (일반사무직, 공무원, 직업군인)",100~199만원,아니오,          ,아파트/ 주상복합,서울,성동구,하왕십리동,
안면도,안면도 회 맛집 : 네이버 VIEW,F,3,"사무직 (일반사무직, 공무원, 직업군인)",100~199만원,아니오,          ,아파트/ 주상복합,서울,성동구,하왕십리동,
안면도,안면도 맛집 : 네이버 플레이스 검색 결과,F,3,"사무직 (일반사무직, 공무원, 직업군인)",100~199만원,아니오,          ,아파트/ 주상복합,서울,성동구,하왕십리동,
안면도,"[태안, 안면도 맛집] 가성비좋고 회가 저렴한 방포수산시장 횟집 : 네이버 블로그",F,3,"사무직 (일반사무직, 공무원, 직업군인)",100~199만원,아니오,          ,아파트/ 주상복합,서울,성동구,하왕십리동,
안면도,안면도 맛집 풍성함을 즐길 수 있는곳 : 네이버 블로그,F,3,"사무직 (일반사무직, 공무원, 직업군인)",100~199만원,아니오,          ,아파트/ 주상복합,서울,성동구,하왕십리동,
안면도,안면도 갈만한곳 : 네이버 통합검색,F,3,"사무직 (일반사무직, 공무원, 직업군인)",100~199만원,아니오,          ,아파트/ 주상복합,서울,성동구,하왕십리동,
안면도,"[태안, 안면도 맛집] 가성비좋고 회가 저렴한 방포수산시장 횟집 : 네이버 블로그",F,3,"사무직 (일반사무직, 공무원, 직업군인)",100~199만원,아니오,          ,아파트/ 주상복합,서울,성동구,하왕십리동,
안면도,안면도 회 맛집 : 네이버 통합검색,F,3,"사무직 (일반사무직, 공무원, 직업군인)",100~199만원,아니오,          ,아파트/ 주상복합,서울,성동구,하왕십리동,
안면도,안면도 맛집 여기 요기~ : 네이버 카페,F,3,"사무직 (일반사무직, 공무원, 직업군인)",100~199만원,아니오,          ,아파트/ 주상복합,서울,성동구,하왕십리동,
안면도,안면도맛집 / 방포항맛집 / 안면도 대하 :: 풍년수산회센타 에서 : 네이버 블로그,F,3,"사무직 (일반사무직, 공무원, 직업군인)",100~199만원,아니오,          ,아파트/ 주상복합,서울,성동구,하왕십리동,
안면도,안면도 방포수산시장 : 네이버 통합검색,F,3,"사무직 (일반사무직, 공무원, 직업군인)",100~199만원,아니오,          ,아파트/ 주상복합,서울,성동구,하왕십리동,
안면도,"안면도 맛집 : 꽃지해수욕장 횟집 ""풍년회센타"" : 네이버 블로그",F,3,"사무직 (일반사무직, 공무원, 직업군인)",100~199만원,아니오,          ,아파트/ 주상복합,서울,성동구,하왕십리동,
안면도,"[태안, 안면도 맛집] 가성비좋고 회가 저렴한 방포수산시장 횟집 : 네이버 블로그",F,3,"사무직 (일반사무직, 공무원, 직업군인)",100~199만원,아니오,          ,아파트/ 주상복합,서울,성동구,하왕십리동,
안면도,"[태안, 안면도 맛집] 가성비좋고 회가 저렴한 방포수산시장 횟집 : 네이버 블로그",F,3,"사무직 (일반사무직, 공무원, 직업군인)",100~199만원,아니오,          ,아파트/ 주상복합,서울,성동구,하왕십리동,
안면도,안면도 맛집 : 네이버 통합검색,F,3,"사무직 (일반사무직, 공무원, 직업군인)",100~199만원,아니오,          ,아파트/ 주상복합,서울,성동구,하왕십리동,
안면도,안면도 맛집 : 네이버 VIEW,F,3,"사무직 (일반사무직, 공무원, 직업군인)",100~199만원,아니오,          ,아파트/ 주상복합,서울,성동구,하왕십리동,
안면도,안면도 갈만한곳 : 네이버 통합검색,F,3,"사무직 (일반사무직, 공무원, 직업군인)",100~199만원,아니오,          ,아파트/ 주상복합,서울,성동구,하왕십리동,
보덕사,보덕사 예산,M,3,,,      ,          ,,서울,강서구,화곡4동,
송불암,논산여행 황산벌의 중심에 자리한 논산 송불암 미륵불,M,3,,,      ,          ,,서울,성북구,정릉4동,
해남사,해남사 양대응 스님,F,4,,,      ,          ,,서울,마포구,도화동,
미륵사,225억 들여 복원한 미륵사지 석탑 - 엽기사진실 - 이종격투기,F,4,,,      ,          ,,광주,광산구,도산동,
해운대,부산선인장 부산선인장농장 청하각선인장 부산개업화분 해운대선인장 선인장도매 플랜테리어식물 : 네이버 블로그,F,4,"서비스직 (요식업, 숙박업, 미용실종업원)",400~499만원,예    ,자녀 없음 ,연립주택/ 다세대/ 빌라,서울,도봉구,방학1동,
구병산,충북 보은 충북알프스의 시작점 아홉봉우리의 구병산,M,3,,,      ,          ,,경기,시흥시,거모동,
송불암,논산여행 황산벌의 중심에 자리한 논산 송불암 미륵불,M,4,"생산/노무직 (생산감독, 경비원, 공장근로자)",100~199만원,아니오,          ,기타 ,대구,달서구,신당동,
진도대명리조트,진도 여행 대명리조트 쏠비치 진도 후기,F,3,,,      ,          ,,대구,북구,국우동,
추암,해파랑길 트레킹 제32코스 한재밑 추암,F,3,,,      ,          ,,경기,고양시 일산동구,정발산동,
후곡약수터,후곡 약수터,F,3,,,      ,          ,,광주,동구,계림1동,
팜파스종합휴양,팜파스종합휴양관광단지,F,4,,,      ,          ,,서울,은평구,응암2동,
선바위,합천 작은가야산  수리봉소바우듬선바위,F,4,"주부 (전업주부, 파트타임 근무 주부)",300~399만원,예    ,자녀 있음 ,아파트/ 주상복합,서울,노원구,중계2.3동,
남당,[어린이체험학습 아그로랜드] 어린이체험학습... 충남 당진에 있는 아그로랜드 태신목장~<서해안가볼만한곳> : 네이버 블로그,F,3,"전문직 (의사, 판검사, 예술가, 종교인)",100~199만원,아니오,          ,연립주택/ 다세대/ 빌라,서울,강남구,개포4동,
태조산,천안 태조산421m  흑성산519m,M,3,,,      ,          ,,전북,군산시,산북동,
안성죽산,2019 안성 죽산 문화재 야행 이야기,F,5,,,      ,          ,,대구,남구,봉덕2동,
경산온천,경산온천상대온천좋아요,M,4,"관리직 (사장, 간부, 고위공무원)",500~599만원,예    ,자녀 있음 ,아파트/ 주상복합,서울,관악구,봉천동,"중형SUV (싼타페, 쏘렌토, 캡티바, BMW X3급 등)"
한탄강,철원 가볼만한곳 고석정 한탄강 부교 걷기 : 네이버 블로그,F,4,"주부 (전업주부, 파트타임 근무 주부)",400~499만원,예    ,자녀 있음 ,연립주택/ 다세대/ 빌라,서울,도봉구,쌍문2동,
봉서사,완주 봉서사,F,5,기타 ,400~499만원,예    ,자녀 있음 ,아파트/ 주상복합,대구,수성구,지산1동,"준중형차 (아반떼, K3, 크루즈, 제타급 등)"
화순온천,아들과 둘이 한 광주 차박여행광주챔피언스필드 대인야시장 화순온천 광주호 전주,M,3,"자영업 (도소매업, 숙박업, 미용업)",300~399만원,예    ,자녀 있음 ,아파트/ 주상복합,경기,남양주시,화도읍,"준중형차 (아반떼, K3, 크루즈, 제타급 등)"
한탄강,한탄강관광지 : 네이버 통합검색,F,3,"사무직 (일반사무직, 공무원, 직업군인)",800~899만원,예    ,자녀 있음 ,아파트/ 주상복합,서울,은평구,수색동,
미륵사,[전북/익산] 미륵사지 : 네이버 블로그,M,2,"서비스직 (요식업, 숙박업, 미용실종업원)",400~499만원,예    ,자녀 없음 ,단독주택,충북,청원군,내수읍,"준중형차 (아반떼, K3, 크루즈, 제타급 등)"
직지사,김천 직지사  템플스테이 1박2일,F,5,"전문직 (의사, 판검사, 예술가, 종교인)",500~599만원,예    ,자녀 있음 ,연립주택/ 다세대/ 빌라,인천,강화군,강화읍,
능암온천,충주 가볼만 한 곳  능암온천랜드,M,2,무직,200~299만원,아니오,          ,아파트/ 주상복합,경기,남양주시,진건읍,
영주순흥,풍기 온천 후 영주 순흥 선비촌 다녀왔습니다,M,4,"관리직 (사장, 간부, 고위공무원)",600~699만원,예    ,자녀 있음 ,연립주택/ 다세대/ 빌라,인천,서구,마전동,"준중형차 (아반떼, K3, 크루즈, 제타급 등)"
청학사,SNS 서포터즈 연수구 사찰 여행 호불사와 청학사 가을 산책,F,5,"자영업 (도소매업, 숙박업, 미용업)",300~399만원,예    ,자녀 있음 ,연립주택/ 다세대/ 빌라,서울,금천구,독산동,"중형SUV (싼타페, 쏘렌토, 캡티바, BMW X3급 등)"
해운대,부산선인장 부산선인장농장 청하각선인장 부산개업화분 해운대선인장 선인장도매 플랜테리어식물 : 네이버 블로그,F,3,"주부 (전업주부, 파트타임 근무 주부)",400~499만원,예    ,자녀 있음 ,아파트/ 주상복합,서울,성동구,금호동4가,"소형SUV/CUV (티볼리, QM3 등)"
산정호수,산정호수 주변 볼거리 : 네이버 통합검색,M,4,"전문직 (의사, 판검사, 예술가, 종교인)",400~499만원,예    ,자녀 있음 ,아파트/ 주상복합,충남,천안시 동남구,신방동,기타 (승합차/트럭/화물차/기타 차량 등)
홍길동테마파크,장성 홍길동 테마파크 반가운 지인들과의 카라반 캠핑,F,4,"교직 (교사, 유치원교사, 학원강사)",500~599만원,예    ,자녀 있음 ,아파트/ 주상복합,인천,서구,당하동,
호미곶,포항펜션 두남자와 함께했던 코지스위트펜션 죽도시장호미곶,F,2,"사무직 (일반사무직, 공무원, 직업군인)",900~999만원,아니오,          ,아파트/ 주상복합,경기,용인시 수지구,동천동,
해남사,해남사 양대응 스님,F,5,"주부 (전업주부, 파트타임 근무 주부)",300~399만원,예    ,자녀 있음 ,아파트/ 주상복합,경기,평택시,장당동,"소형차 (액센트, 프라이드, 아베오, 피아트급 등)"
도장사,현직검사가 알려주는 인감도장 사용법 jpg - 엽기사진실 - 이종격투기,F,2,"사무직 (일반사무직, 공무원, 직업군인)",400~499만원,아니오,          ,아파트/ 주상복합,부산,북구,화명1동,
안면도,안면도 맛집 : 네이버 통합검색,M,4,,,      ,          ,,경기,수원시 권선구,세류1동,
장흥,서울 근교 장흥 참숯가마 고구마 구워 먹고 놀기 좋아,F,5,,,      ,          ,,서울,서초구,양재1동,
연등사,연등사경북 봉화군 석포면,M,2,,,      ,          ,,서울,강북구,미아동,
천안종합휴향,세종싸이클로드,F,5,,,      ,          ,,서울,양천구,신정2동,
합천호,합천 악견산~의룡산 종주 - 합천호 조망과 천길단애를 경험할 수 있는 산 (대병3산/대병5악/십자바위/악견산성),F,3,"사무직 (일반사무직, 공무원, 직업군인)",500~599만원,예    ,자녀 없음 ,아파트/ 주상복합,인천,연수구,선학동,"대형차 (제너시스, BMW5급 등)"
고석정,고석정 : 네이버 통합검색,F,3,,,      ,          ,,전북,전주시 완산구,효자동2가,
레인보우힐링,민주지산 자연휴양림 레인보우 힐링 숲속 가요제,F,3,,,      ,          ,,서울,강남구,역삼1동,
묘산봉,제주시 구좌읍 김녕리 묘산봉 일대 농어촌도로 확장,F,4,"주부 (전업주부, 파트타임 근무 주부)",500~599만원,예    ,자녀 있음 ,아파트/ 주상복합,서울,서초구,잠원동,"소형SUV/CUV (티볼리, QM3 등)"
우수영,전라도 가볼만한곳 진도타워  우수영국민관광지 명량대첩기념관,F,5,"주부 (전업주부, 파트타임 근무 주부)",300~399만원,예    ,자녀 있음 ,아파트/ 주상복합,서울,서초구,서초2동,
신지명사십리,여로4  완도 신지명사십리해수욕장  20190325,F,4,,,      ,          ,,서울,송파구,거여동,
덕산온천,짧은 나들이 덕산온천여행 선물처럼 만난 코스모스,F,3,,,      ,          ,,충남,천안시 서북구,불당동,
개암사,부안 개암사 그리고 개암제 나들이,M,3,"사무직 (일반사무직, 공무원, 직업군인)",500~599만원,예    ,자녀 없음 ,단독주택,경기,부천시 원미구,중동,"준중형차 (아반떼, K3, 크루즈, 제타급 등)"
방동약수터,방태산 방동약수터,F,4,"사무직 (일반사무직, 공무원, 직업군인)",500~599만원,예    ,자녀 없음 ,연립주택/ 다세대/ 빌라,서울,중랑구,면목2동,
일심사,오이타 여행 코스벚꽃 운해 잇신지일심사,F,2,,,      ,          ,,인천,계양구,효성2동,
안면도,[태안 안면도 맛집] 가성비좋고 회가 저렴한 방포수산시장 횟집 : 네이버 블로그,M,2,,,      ,          ,,경기,수원시 권선구,권선동,
해운대,해운대뷔페 가장 좋아하는 곳 그랜드애플,F,5,,,      ,          ,,인천,남구,학익동,
오목내,진주 판문동 맛집 오목내 솔직후기,M,5,,,      ,          ,,제주,제주시,해안동,
벽계,벽계야영장은 새단장 중,M,5,"자영업 (도소매업, 숙박업, 미용업)",500~599만원,예    ,자녀 있음 ,아파트/ 주상복합,서울,성동구,행당동,"MPV (카니발, 올란도, 피카소급, 오딧세이 등)"
왜목마을,당진당일치기 3 왜목마을 해수욕장 산책 잠깐 들리기 좋은 코스,M,3,,,      ,          ,,경북,포항시 남구,오천읍,
제주중문,행복했던 밥상 제주 중문 맛집,M,2,,,      ,          ,,서울,성동구,응봉동,
청량사,가야산국립공원남산제일봉 청량사 원점회귀 등산코스,F,5,,,      ,          ,,인천,남동구,서창동,
안면도,안면도 갈만한곳 : 네이버 통합검색,M,4,"사무직 (일반사무직, 공무원, 직업군인)","1,000만원 이상",예    ,자녀 있음 ,아파트/ 주상복합,서울,영등포구,당산동,
도장사,현직검사가 알려주는 인감도장 사용법 jpg - 엽기사진실 - 이종격투기,F,4,"사무직 (일반사무직, 공무원, 직업군인)",400~499만원,예    ,자녀 있음 ,연립주택/ 다세대/ 빌라,강원,강릉시,포남2동,"경차 (모닝, 스파크 등)"
미숭산,고령 여행 숲과 자연을 느끼며 힐링해요 미숭산자연휴양림,F,5,"주부 (전업주부, 파트타임 근무 주부)",200~299만원,예    ,자녀 있음 ,아파트/ 주상복합,경기,안양시 동안구,평촌동,
만남의광장,하남 드림 휴게소만남의광장에 수소충전소 오픈,F,5,"자영업 (도소매업, 숙박업, 미용업)",500~599만원,아니오,          ,연립주택/ 다세대/ 빌라,서울,강남구,대치동,"준중형SUV (투싼, 스포티지, QM5, 티구안급 등)"
대천해수욕장,대천해수욕장 짚라인 타고 스카이라운지에서 커피한잔,F,3,"사무직 (일반사무직, 공무원, 직업군인)",300~399만원,예    ,자녀 없음 ,아파트/ 주상복합,충북,청주시 흥덕구,송절동,"준중형차 (아반떼, K3, 크루즈, 제타급 등)"
산정호수,산정호수 : 네이버 통합검색,M,4,"생산/노무직 (생산감독, 경비원, 공장근로자)",200~299만원,예    ,자녀 있음 ,연립주택/ 다세대/ 빌라,대구,수성구,만촌2동,"소형차 (액센트, 프라이드, 아베오, 피아트급 등)"
안면도,[태안 안면도 맛집] 가성비좋고 회가 저렴한 방포수산시장 횟집 : 네이버 블로그,F,4,,,      ,          ,,부산,동래구,온천3동,
홍길동테마파크,장성 홍길동 테마파크 반가운 지인들과의 카라반 캠핑,F,2,,,      ,          ,,서울,은평구,대조동,
미숭산,고령 여행 숲과 자연을 느끼며 힐링해요 미숭산자연휴양림,M,4,,,      ,          ,,광주,서구,화정3동,
마금산온천,창원북면 마금산온천호텔 창원 온천 호텔 추천 리앤호텔  풀빌라 318호 후기,F,4,,,      ,          ,,경남,진주시,하대동,
마이산회봉온천,마이산회봉온천 새 희망 날개 활짝 폈다,F,3,,,      ,          ,,서울,양천구,목2동,
해운사,미국이 제재한 中해운사는 김정은 벤츠 北에 실어나른 회사 | 다음 뉴스,F,5,,,      ,          ,,인천,중구,운서동,
우수영,전라도 가볼만한곳 진도타워  우수영국민관광지 명량대첩기념관,M,3,"사무직 (일반사무직, 공무원, 직업군인)",400~499만원,예    ,자녀 있음 ,아파트/ 주상복합,경기,용인시 처인구,역북동,"중형차 (쏘나타, K5, 말리부, 골프급 등)"
계림사,김천 동부리 마애지장보살좌상 계림사 석조나한좌상,F,5,,,      ,          ,,서울,강남구,압구정동,
해남사,해남사 양대응 스님,F,3,"주부 (전업주부, 파트타임 근무 주부)",400~499만원,예    ,자녀 없음 ,아파트/ 주상복합,경기,안성시,공도읍,"중형차 (쏘나타, K5, 말리부, 골프급 등)"
서포리,덕적도 서포리해변 백패킹511  512,M,3,"사무직 (일반사무직, 공무원, 직업군인)",500~599만원,예    ,자녀 있음 ,아파트/ 주상복합,인천,부평구,삼산2동,"준중형SUV (투싼, 스포티지, QM5, 티구안급 등)"
아리랑마을,국악의 고장 전라남도 진도  국립남도국악원 아리랑 마을,M,5,,,      ,          ,,경기,여주군,흥천면,
무극,개업축하화분배달 금전수 돈나무 행운목 해피트리 스투키 뱅갈고무나무 극락조 난 개업식 집들이 거실화분 : 플라워리퍼블릭b,F,4,"주부 (전업주부, 파트타임 근무 주부)",500~599만원,예    ,자녀 있음 ,아파트/ 주상복합,경기,수원시 장안구,율전동,"준중형차 (아반떼, K3, 크루즈, 제타급 등)"
백암온천,백암온천 백암LG생활연수원 숙소에서  백암산 백암폭포가는 길 백암폭포 백암온천,M,5,,,      ,          ,,인천,부평구,청천동,
여수첼린지파크,여수 유월드 루지 테마파크 핫플 인정 100만표,M,2,"전문직 (의사, 판검사, 예술가, 종교인)",200~299만원,아니오,          ,단독주택,인천,남동구,간석4동,
지장사,방탄소년단 정국 지장사 직원분이 알려준 꾹이 비하인드스토리,F,4,,,      ,          ,,광주,서구,상무동,
벽계,벽계야영장은 새단장 중,F,5,"사무직 (일반사무직, 공무원, 직업군인)",400~499만원,예    ,자녀 있음 ,연립주택/ 다세대/ 빌라,경기,부천시 원미구,중동,
여수경도,수요미식회 여수  경도 자연횟집  여수 10미 하모 샤브샤브,M,4,무직,300~399만원,아니오,          ,단독주택,충북,충주시,수안보면,"중형차 (쏘나타, K5, 말리부, 골프급 등)"
