선호관광,사이트제목,성별,연령,직업,소득,결혼,자녀,주거,시도,구,동,자동차
마니산,[마니산] 한라산은 아니지만 100개는 채웠네!! : 네이버 블로그,F,5,,,      ,          ,,경기,군포시,수리동,
대조사,차몰고 靑 돌진한... :: 네이버 뉴스,M,5,기타 ,600~699만원,아니오,          ,아파트/ 주상복합,서울,양천구,목1동,"중형차 (쏘나타, K5, 말리부, 골프급 등)"
태종대,태종대 해양대 : 네이버 통합검색,M,4,"사무직 (일반사무직, 공무원, 직업군인)",400~499만원,예    ,자녀 있음 ,연립주택/ 다세대/ 빌라,부산,동구,좌천동,"중형차 (쏘나타, K5, 말리부, 골프급 등)"
해운대,해운대구 좌4동 미세먼지 : 네이버 통합검색,M,4,,,      ,          ,,충북,청주시 흥덕구,가경동,
고석정,철원 여행 고석정 정취를 취하다,M,4,,,      ,          ,,경기,의왕시,포일동,
대조사,차몰고 靑 돌진한... :: 네이버 뉴스,M,5,"관리직 (사장, 간부, 고위공무원)",500~599만원,예    ,자녀 있음 ,연립주택/ 다세대/ 빌라,인천,서구,마전동,
약수암,도당산시사재 대광사 약수암,F,3,,,      ,          ,,경기,이천시,대월면,
해운대,히즈모해운대좌동점 : 네이버,F,5,,,      ,          ,,서울,동작구,대방동,
백제가요정읍사,백제의 가요 정읍사 망한가로 새롭게 태어나다,M,4,,,      ,          ,,서울,구로구,구로5동,
송정,부산 송정 맛집 알찬 전복영양밥 한그릇,M,4,,,      ,          ,,경기,화성시,반송동,
곡성도림사,곡성 여행 도림사 카페 씨엘로,M,4,"사무직 (일반사무직, 공무원, 직업군인)",200~299만원,예    ,자녀 없음 ,아파트/ 주상복합,경기,평택시,용이동,"중형SUV (싼타페, 쏘렌토, 캡티바, BMW X3급 등)"
복전암,토요산행   보문산,F,4,,,      ,          ,,서울,서초구,신원동,
울릉도,[울릉도] 울릉도 3일 패키지 (묵호/포항/강릉출발 택1) :: 600개 도시 현지 친구와 진짜 여행을,M,2,,,      ,          ,,충북,충주시,안림동,
삼막사,안양 삼막사 맛집 김은주블로그 일상 : 네이버 블로그,F,4,,,      ,          ,,서울,도봉구,창4동,
월정사,오대산월정사전나무숲길 : 네이버 통합검색,M,4,"사무직 (일반사무직, 공무원, 직업군인)","1,000만원 이상",예    ,자녀 있음 ,아파트/ 주상복합,경기,성남시 분당구,분당동,"중형차 (쏘나타, K5, 말리부, 골프급 등)"
월정사,평창 가볼만한곳 오대산 월정사 전나무숲길 (feat. 도깨비 촬영지) : 네이버 블로그,M,4,"사무직 (일반사무직, 공무원, 직업군인)","1,000만원 이상",예    ,자녀 있음 ,아파트/ 주상복합,경기,성남시 분당구,분당동,"중형차 (쏘나타, K5, 말리부, 골프급 등)"
월정사,평창가볼만한곳 /오대산 월정사 전나무숲길 : 네이버 블로그,M,4,"사무직 (일반사무직, 공무원, 직업군인)","1,000만원 이상",예    ,자녀 있음 ,아파트/ 주상복합,경기,성남시 분당구,분당동,"중형차 (쏘나타, K5, 말리부, 골프급 등)"
월정사,오대산 월정사 : 네이버 통합검색,M,4,"사무직 (일반사무직, 공무원, 직업군인)","1,000만원 이상",예    ,자녀 있음 ,아파트/ 주상복합,경기,성남시 분당구,분당동,"중형차 (쏘나타, K5, 말리부, 골프급 등)"
청원사,“한국당 해산”... :: 네이버 뉴스,M,5,,,      ,          ,,부산,사상구,삼락동,
천은사,지리산 천은사 통행료 : 네이버 통합검색,F,5,,,      ,          ,,서울,마포구,서교동,
해운대,미리내어린이공원.해운대신시가지아파트해운대신도시아파트매매전세월세전문에이스부동산 : 네이버 블로그,M,4,기타 ,100만원 미만,아니오,          ,단독주택,경기,안양시 만안구,석수동,
안면도,인펜(가평안면도경주남해스파펜션펜션무료체험맛집소개),F,3,,,      ,          ,,서울,광진구,구의1동,
남원,서귀포 흑돼지 맛집(제주 남원)신혼집 근처 돈순이 : 네이버 블로그,F,5,,,      ,          ,,서울,은평구,불광1동,
화계사,문화계 사람들 | [인터뷰]김지영 레전드되다..외로웠던 내게 발레는 친구,F,3,"주부 (전업주부, 파트타임 근무 주부)",200~299만원,예    ,자녀 있음 ,아파트/ 주상복합,경기,화성시,병점동,"준중형SUV (투싼, 스포티지, QM5, 티구안급 등)"
다덕약수,봉화 약수식당  다덕약수 로 만든 토종닭백숙,M,2,,,      ,          ,,경기,광명시,철산3동,
안면도,충남 태안 가볼만한곳 안면도 자연휴양림 무장애 나눔길,F,5,"사무직 (일반사무직, 공무원, 직업군인)",600~699만원,예    ,자녀 있음 ,연립주택/ 다세대/ 빌라,서울,은평구,대조동,"대형차 (제너시스, BMW5급 등)"
해운대,해운대시외버스터미널 : 네이버 블로그,F,5,,,      ,          ,,광주,북구,문흥1동,
남원,제주 남원 맛집 반전 매력! 이루후제 : 네이버 블로그,M,4,"서비스직 (요식업, 숙박업, 미용실종업원)",400~499만원,아니오,          ,단독주택,서울,구로구,가리봉동,
호미곶,포항 호미곶 앞바다서 어선 침수 : 네이버 통합검색,F,3,"사무직 (일반사무직, 공무원, 직업군인)",200~299만원,아니오,          ,아파트/ 주상복합,대구,남구,봉덕1동,
미천굴,제주 일출랜드 그리고 미천굴,M,2,,,      ,          ,,서울,동작구,대방동,
낙산사,산불피해지역으로 떠나는 여행 꿈이 있다면 낙산사로 오세요~ [양양 가볼만한곳] : 네이버 블로그,F,3,,,      ,          ,,인천,남동구,만수5동,
해운대,해운대 운봉산 산... :: 네이버 뉴스,F,5,,,      ,          ,,서울,영등포구,도림동,
울릉도,[포항출발] 울릉도 자유여행(왕복선표+비치온호텔),M,2,무직,900~999만원,아니오,          ,오피스텔,서울,서초구,잠원동,"중형차 (쏘나타, K5, 말리부, 골프급 등)"
울릉도,후포출발 울릉도2박3일 대아리조트할인,M,4,기타 ,400~499만원,예    ,자녀 있음 ,아파트/ 주상복합,서울,서초구,서초동,"준대형차 (그랜저, K7, 알페온, 캠리급, 파사트급 등)"
삽교호,당진 삽교호 한 바퀴,F,4,,,      ,          ,,서울,서대문구,천연동,
신륵사,여주 가볼만한곳 색색의 연등이 예쁜 신륵사,F,4,,,      ,          ,,경기,용인시 기흥구,보정동,
무창포해수욕장,보령 대천해수욕장과 무창포 해변,M,3,,,      ,          ,,경북,포항시 북구,환호동,
북고사,늦가을 무주의 북고사 성지순례,F,3,,,      ,          ,,경북,경주시,성건동,
장성호,장성 가볼만한곳 장성호 수변길 출렁다리,M,5,"학생 (초중고학생, 대학생, 대학원생)",300~399만원,아니오,          ,아파트/ 주상복합,전북,전주시 덕진구,송천동2가,
화암,정선 아이와 가볼만한곳 화암동굴 나들이 ,M,3,,,      ,          ,,인천,계양구,작전동,
보덕사,보덕사 예산,M,5,,,      ,          ,,경기,오산시,갈곶동,
울릉도,울릉도자유여행 : 네이버 통합검색,F,4,"주부 (전업주부, 파트타임 근무 주부)",500~599만원,예    ,자녀 있음 ,아파트/ 주상복합,경기,의왕시,내손2동,
봉서사,완주 봉서사,M,2,,,      ,          ,,서울,강남구,개포1동,
삼막사,삼막사,F,3,"사무직 (일반사무직, 공무원, 직업군인)",400~499만원,예    ,자녀 없음 ,아파트/ 주상복합,경기,안양시 만안구,석수1동,
삼막사,안양 삼막사 맛집 김은주블로그 일상 : 네이버 블로그,F,3,"사무직 (일반사무직, 공무원, 직업군인)",400~499만원,예    ,자녀 없음 ,아파트/ 주상복합,경기,안양시 만안구,석수1동,
삼막사,안양/삼막사 맛집 : 장어1번가(영광수산 숯불 민물장어) : 네이버 블로그,F,3,"사무직 (일반사무직, 공무원, 직업군인)",400~499만원,예    ,자녀 없음 ,아파트/ 주상복합,경기,안양시 만안구,석수1동,
실상사,리군의 사찰 에세이 02 남원 실상사,F,4,,,      ,          ,,충북,청주시 상당구,용담동,
안적사,기장 안적사에서 가을을 맞이했습니다,M,3,"사무직 (일반사무직, 공무원, 직업군인)",600~699만원,예    ,자녀 없음 ,아파트/ 주상복합,경기,파주시,야동동,"중형차 (쏘나타, K5, 말리부, 골프급 등)"
장호,장호비치캠핑장 삼척여행,M,4,"자영업 (도소매업, 숙박업, 미용업)",400~499만원,예    ,자녀 있음 ,아파트/ 주상복합,광주,동구,대인동,"중형SUV (싼타페, 쏘렌토, 캡티바, BMW X3급 등)"
제천온천,충북 가볼만한곳 제천 리솜포레스트 온천여행과 자드락길,M,3,,,      ,          ,,충북,청주시 흥덕구,복대동,
다덕약수,봉화 약수식당  다덕약수 로 만든 토종닭백숙,F,2,,,      ,          ,,서울,강서구,가양2동,
예당,충남 예당저수지 예당호 출렁다리,F,5,,,      ,          ,,인천,남동구,논현동,
쌍계사,[쌍계사 벚꽃 / 화개장터 벚꽃축제 / 하동 벚꽃축제] 사랑이 이루어지는 곳 하동 십리벚꽃길 : 네이버 블로그,M,3,"사무직 (일반사무직, 공무원, 직업군인)",800~899만원,아니오,          ,아파트/ 주상복합,인천,연수구,청학동,"준중형SUV (투싼, 스포티지, QM5, 티구안급 등)"
신지명사십리,여로4  완도 신지명사십리해수욕장  20190325,F,3,,,      ,          ,,부산,북구,화명1동,
김천온천,찜질방 데이트 김천 구미 대구 근처 온천숯가마 찜질방  성주 스파랜드u,F,5,"주부 (전업주부, 파트타임 근무 주부)",900~999만원,예    ,자녀 있음 ,아파트/ 주상복합,서울,송파구,오륜동,
충주호체험,충주호 유람선 체험,F,3,,,      ,          ,,경기,시흥시,정왕동,
용담사,안동물놀이할만한곳안동계곡길안계곡길안용담사 근처 계곡으로 물놀이다녀왔어요,M,3,"생산/노무직 (생산감독, 경비원, 공장근로자)",200~299만원,아니오,          ,연립주택/ 다세대/ 빌라,경남,양산시,물금읍,"준중형차 (아반떼, K3, 크루즈, 제타급 등)"
부곡온천,금정산부곡온천 : 네이버 플레이스 리뷰 결과,M,5,,,      ,          ,,경기,파주시,탄현면,
무극,개업축하화분배달 금전수 돈나무 행운목 해피트리 스투키 뱅갈고무나무 극락조 난 개업식 집들이 거실화분,M,4,,,      ,          ,,경기,용인시 처인구,고림동,
문장대온천,문장대온천개발 온천지구 지정 사실상 백지화 가능성 커,M,2,,,      ,          ,,서울,서대문구,북가좌2동,
불갑사,불갑사 상사화 개화초기 풍경불갑사상사화축제 날에는 만개할듯,M,3,"학생 (초중고학생, 대학생, 대학원생)",500~599만원,아니오,          ,연립주택/ 다세대/ 빌라,경기,안산시 단원구,와동,"준중형차 (아반떼, K3, 크루즈, 제타급 등)"
어답산,20190728일 횡성 어답산횡성온천선바위장송어답산 장군봉병지방계곡,F,2,"사무직 (일반사무직, 공무원, 직업군인)",100~199만원,아니오,          ,연립주택/ 다세대/ 빌라,경기,안산시 단원구,고잔동,
남원,제주도 맛집 베스트10 현지인들로 북적 남원읍 맛집 돈순이! : 네이버 블로그,F,2,"사무직 (일반사무직, 공무원, 직업군인)",100~199만원,아니오,          ,연립주택/ 다세대/ 빌라,경기,안산시 단원구,고잔동,
도림사,도림신협도림사거리지점 : 네이버,M,3,"자영업 (도소매업, 숙박업, 미용업)",200~299만원,아니오,          ,연립주택/ 다세대/ 빌라,경기,용인시 수지구,죽전동,
화암,정선 아이와 가볼만한곳 화암동굴 나들이 ,M,2,,,      ,          ,,경기,고양시 일산동구,마두1동,
합천호,합천호코지캠핑장,F,4,,,      ,          ,,서울,중랑구,상봉동,
해운대,해운대 라마다 앙코르 런치부페 : 네이버 통합검색,F,4,"사무직 (일반사무직, 공무원, 직업군인)",500~599만원,예    ,자녀 있음 ,아파트/ 주상복합,경기,시흥시,정왕동,"준중형차 (아반떼, K3, 크루즈, 제타급 등)"
해운대,해운대 라마다 앙코르 : 네이버 통합검색,F,4,,,      ,          ,,대구,남구,대명3동,
월정사,평창 가볼만한곳 오대산 월정사 전나무숲길 (feat. 도깨비 촬영지) : 네이버 블로그,M,3,,,      ,          ,,서울,도봉구,창2동,"준중형차 (아반떼, K3, 크루즈, 제타급 등)"
전통한방휴양,전통한방휴양관광지 산청동의보감촌공진단만들기 체험,M,3,"사무직 (일반사무직, 공무원, 직업군인)",400~499만원,아니오,          ,오피스텔,서울,강서구,화곡1동,
울릉도,울릉도 배편 : 네이버 통합검색,F,5,"주부 (전업주부, 파트타임 근무 주부)",500~599만원,예    ,자녀 있음 ,아파트/ 주상복합,서울,강동구,둔촌2동,"준중형SUV (투싼, 스포티지, QM5, 티구안급 등)"
쌍계사,경남 하동 쌍계사 십리벚꽃길,F,4,,,      ,          ,,전북,군산시,나운2동,
마니산,한국명산 031 강화도 마니산 등산기,F,3,"서비스직 (요식업, 숙박업, 미용실종업원)",400~499만원,예    ,자녀 없음 ,연립주택/ 다세대/ 빌라,서울,동작구,사당3동,
해운대,해운대 달맞이고개 맛집 :: 샤브야 방문 : 네이버 블로그,M,5,기타 ,"1,000만원 이상",예    ,자녀 있음 ,단독주택,광주,북구,두암1동,"준중형SUV (투싼, 스포티지, QM5, 티구안급 등)"
화진포,강원도 고성 여행  화진포 신서유기에도 나왔네요,M,4,"서비스직 (요식업, 숙박업, 미용실종업원)",100~199만원,예    ,자녀 있음 ,단독주택,충북,보은군,삼승면,"소형차 (액센트, 프라이드, 아베오, 피아트급 등)"
예래휴양형주거,예래 휴양형 주거단지 현황과 제주도 땅 투자,M,3,"전문직 (의사, 판검사, 예술가, 종교인)",200~299만원,아니오,          ,연립주택/ 다세대/ 빌라,강원,동해시,천곡동,"준중형차 (아반떼, K3, 크루즈, 제타급 등)"
향일암,여수 향일암 : 네이버 VIEW,F,2,무직,100만원 미만,아니오,          ,단독주택,서울,노원구,상계10동,
해운대,해운대뷔페 가장 좋아하는 곳 그랜드애플,M,2,"기능직 (자동차정비, 운전기사, 안경사, 택시기사)",900~999만원,예    ,자녀 없음 ,연립주택/ 다세대/ 빌라,전북,전주시 완산구,평화동2가,
송불암,논산여행 황산벌의 중심에 자리한 논산 송불암 미륵불,M,4,무직,100만원 미만,아니오,          ,기타 ,경북,포항시 남구,호미곶면,
제주중문,제주 중문 가볼만한곳 : 네이버 통합검색,M,3,,,      ,          ,,서울,양천구,신월1동,
용궁사,부산 해운대구9번 마을버스[용궁사입구→용궁사입구],M,3,"사무직 (일반사무직, 공무원, 직업군인)",200~299만원,아니오,          ,아파트/ 주상복합,인천,남구,주안7동,
장흥,[판매중] 백화고 등 표고버섯 판매합니다(장흥유치) : 네이버 카페,M,4,"사무직 (일반사무직, 공무원, 직업군인)",800~899만원,아니오,          ,아파트/ 주상복합,대전,동구,가양2동,
옥계,옥계에서 동해로 번진 불길…주먹 같은 불덩어리 날아와,M,4,"서비스직 (요식업, 숙박업, 미용실종업원)",200~299만원,아니오,          ,아파트/ 주상복합,부산,영도구,봉래동5가,"중형차 (쏘나타, K5, 말리부, 골프급 등)"
향일암,여수 가볼만한곳 향일암 신비롭구나! : 네이버 블로그,F,4,,,      ,          ,,전북,전주시 완산구,서서학동,
표선,제주신화월드 랜딩다이닝 조식 & 군산오름 & 서귀포 쇠소깍 & 동백군락지 & 표선해수욕장 & 동문시장 딱새우 : 네이버 블로그,F,5,,,      ,          ,,부산,수영구,광안1동,
태조산,Essay #06 태조산 : 네이버 블로그,M,4,,,      ,          ,,서울,노원구,하계2동,
개심사,개심사 벚꽃 : 네이버 통합검색,F,2,"학생 (초중고학생, 대학생, 대학원생)",100만원 미만,아니오,          ,단독주택,경기,화성시,비봉면,
사선대,선녀들도 반한 국민 관광지 임실 사선대  임실 나들이 명소,F,5,,,      ,          ,,서울,서초구,양재2동,
부곡온천,구서동(장전동) 금정산 부곡온천 후기 : 네이버 블로그,M,2,,,      ,          ,,경남,창원시 마산회원구,구암1동,
울릉도,후포출발 울릉도2박3일 대아리조트할인,M,5,,,      ,          ,,부산,북구,덕천3동,
합천호,합천호코지캠핑장,M,4,,,      ,          ,,인천,계양구,계산3동,
장목,모헤닉게라지스 전기차 시장 공략…내년 코스닥 상장 목표“,M,3,,,      ,          ,,충남,천안시 동남구,원성2동,
산정호수,포천 산정호수 둘레길을 걸으며,F,5,,,      ,          ,,대전,유성구,가정동,
제주중문,제주 중문 가볼만한곳 제주도 주상절리 여행 갔어요 : 네이버 블로그,M,3,,,      ,          ,,광주,광산구,장덕동,
개암사,부안 개암사 그리고 개암제 나들이,M,4,,,      ,          ,,서울,광진구,자양1동,
고래불,해파랑길 트레킹 제23코스 고래불 후포항,M,2,,,      ,          ,,부산,금정구,구서1동,
해운대,신해운대역 : 네이버 통합검색,F,4,,,      ,          ,,대구,달성군,화원읍,
삼막사,안양/삼막사 맛집 : 장어1번가(영광수산 숯불 민물장어) : 네이버 블로그,M,5,"자영업 (도소매업, 숙박업, 미용업)",700~799만원,아니오,          ,연립주택/ 다세대/ 빌라,대구,달서구,용산동,"소형차 (액센트, 프라이드, 아베오, 피아트급 등)"
오수의견,전북 걷기 좋은 곳 전북 임실 오수의견공원,M,2,,,      ,          ,,서울,동작구,사당3동,
정남진우산도,정남진 장흥 물 축제 여행 정남진 전망대 위대한 영웅 안중근을 만나다,F,3,,,      ,          ,,서울,은평구,응암동,"준중형차 (아반떼, K3, 크루즈, 제타급 등)"
남원,[18 제주] 아이 둘 데리고 제주여행 먹었던 이야기(제주 남원/위미 맛집 자매국수 시즌박스 제주 윤식당 등등) : 네이버 블로그,M,5,,,      ,          ,,인천,남구,숭의2동,
만리포해수욕장,당일치기 태안여행 해미읍성 만리포해수욕장 일몰 까지,M,4,"기능직 (자동차정비, 운전기사, 안경사, 택시기사)",200~299만원,아니오,          ,기타 ,서울,서초구,서초3동,
망상,강원 동해 망상오토캠핑장,M,5,,,      ,          ,,대구,달서구,용산동,
청도용암온천,청도용암온천 즐기고 빛축제까지,F,4,"생산/노무직 (생산감독, 경비원, 공장근로자)",200~299만원,예    ,자녀 있음 ,아파트/ 주상복합,충남,천안시 서북구,성거읍,
남원,제주 남원 맛집 돈순이 위미동백군락지 4분 거리 : 네이버 블로그,M,4,"생산/노무직 (생산감독, 경비원, 공장근로자)",300~399만원,예    ,자녀 있음 ,아파트/ 주상복합,경남,양산시,소주동,
장목,거제시 장목 궁농항의 망봉산둘레길 : 네이버 블로그,F,4,"주부 (전업주부, 파트타임 근무 주부)",400~499만원,예    ,자녀 있음 ,아파트/ 주상복합,부산,북구,화명3동,"준대형차 (그랜저, K7, 알페온, 캠리급, 파사트급 등)"
웰리힐리파크,웰리힐리파크 리프트권 및 록키스키 알파인 스키강습,M,5,"자영업 (도소매업, 숙박업, 미용업)",400~499만원,예    ,자녀 있음 ,연립주택/ 다세대/ 빌라,서울,영등포구,신길1동,"중형차 (쏘나타, K5, 말리부, 골프급 등)"
제주중문,제주중문가볼만한곳 추천해요 : 네이버 블로그,F,4,"판매직 (상점점원, 보험설계사, 노점상)",500~599만원,예    ,자녀 있음 ,연립주택/ 다세대/ 빌라,서울,도봉구,도봉동,
협재해안,나혼자산다수요미식회 맛집 제주 협재해안 수우동,M,3,"사무직 (일반사무직, 공무원, 직업군인)",100~199만원,아니오,          ,아파트/ 주상복합,서울,노원구,상계8동,
내장산리조트,정읍시 내장산리조트 최대규모 민자유치,F,4,,,      ,          ,,광주,동구,광산동,
해운대,해운대버스터미널 영남권 : 네이버 통합검색,M,3,"사무직 (일반사무직, 공무원, 직업군인)",200~299만원,예    ,자녀 없음 ,아파트/ 주상복합,경기,평택시,안중읍,"준대형차 (그랜저, K7, 알페온, 캠리급, 파사트급 등)"
주왕산,주왕산 국립공원 만추의 주왕산 탐방,F,3,"주부 (전업주부, 파트타임 근무 주부)",300~399만원,예    ,자녀 있음 ,연립주택/ 다세대/ 빌라,경기,고양시 일산동구,정발산동,기타 (승합차/트럭/화물차/기타 차량 등)
안성죽산,2019 안성 죽산 문화재 야행 이야기,M,5,"학생 (초중고학생, 대학생, 대학원생)",400~499만원,아니오,          ,오피스텔,부산,동래구,온천1동,"준중형차 (아반떼, K3, 크루즈, 제타급 등)"
만남의광장,하남 드림 휴게소만남의광장에 수소충전소 오픈,F,4,"주부 (전업주부, 파트타임 근무 주부)",900~999만원,예    ,자녀 있음 ,아파트/ 주상복합,서울,강남구,대치동,"준대형차 (그랜저, K7, 알페온, 캠리급, 파사트급 등)"
성류굴,1500년전 낙서 무... :: 네이버 뉴스,F,3,"사무직 (일반사무직, 공무원, 직업군인)",400~499만원,예    ,자녀 없음 ,아파트/ 주상복합,경기,시흥시,정왕3동,"준중형차 (아반떼, K3, 크루즈, 제타급 등)"
성류굴,1500년전 낙서 무... :: 네이버 뉴스,F,3,"사무직 (일반사무직, 공무원, 직업군인)",400~499만원,예    ,자녀 없음 ,아파트/ 주상복합,경기,시흥시,정왕3동,"준중형차 (아반떼, K3, 크루즈, 제타급 등)"
장안사,장안동 맛집 | 송도불향쭈꾸미 - 장안사거리 쭈꾸미 맛집 : 네이버 블로그,F,3,"사무직 (일반사무직, 공무원, 직업군인)",400~499만원,예    ,자녀 없음 ,아파트/ 주상복합,경기,시흥시,정왕3동,"준중형차 (아반떼, K3, 크루즈, 제타급 등)"
홍천비발디파크,꽃길 거닐다 해지면 하룻밤 묵어 가면 되고…홍천 비발디파크 벚꽃축제 : 네이버 포스트,F,3,"사무직 (일반사무직, 공무원, 직업군인)",400~499만원,예    ,자녀 없음 ,아파트/ 주상복합,경기,시흥시,정왕3동,"준중형차 (아반떼, K3, 크루즈, 제타급 등)"
향일암,여수 향일암 : 네이버 통합검색,F,4,"교직 (교사, 유치원교사, 학원강사)","1,000만원 이상",예    ,자녀 있음 ,아파트/ 주상복합,경기,안양시 동안구,관양1동,"준중형차 (아반떼, K3, 크루즈, 제타급 등)"
한국차소리문화공원,보성여행 보성차밭빛축제  한국차소리문화공원,F,3,"전문직 (의사, 판검사, 예술가, 종교인)",100~199만원,예    ,자녀 있음 ,아파트/ 주상복합,경기,안산시 상록구,성포동,"경차 (모닝, 스파크 등)"
예천삼강,대구근교 가볼만하곳 더예천 삼강문화단지위기의 삼강주막 방탈출게임,M,4,"기능직 (자동차정비, 운전기사, 안경사, 택시기사)",300~399만원,예    ,자녀 있음 ,아파트/ 주상복합,서울,동작구,대방동,기타 (승합차/트럭/화물차/기타 차량 등)
마니산,마니산과 강화나들길 7코스 : 네이버 블로그,F,4,"교직 (교사, 유치원교사, 학원강사)",600~699만원,아니오,          ,연립주택/ 다세대/ 빌라,서울,동대문구,이문1동,
표선,표선해수욕장 : 네이버 통합검색,M,4,"사무직 (일반사무직, 공무원, 직업군인)",500~599만원,예    ,자녀 있음 ,아파트/ 주상복합,경기,용인시 수지구,상현2동,"준중형SUV (투싼, 스포티지, QM5, 티구안급 등)"
해운대,해운대 홍콩반점 혼밥 추천 / 백종원 의 짬뽕맛집 : 네이버 블로그,F,4,"주부 (전업주부, 파트타임 근무 주부)",400~499만원,예    ,자녀 있음 ,아파트/ 주상복합,인천,동구,송현동,"경차 (모닝, 스파크 등)"
삼포문암,고성  삼포문암진해변 개발,F,2,무직,400~499만원,아니오,          ,아파트/ 주상복합,경북,김천시,덕곡동,
마금산온천,창원북면 마금산온천호텔 창원 온천 호텔 추천 리앤호텔  풀빌라 318호 후기,F,5,"주부 (전업주부, 파트타임 근무 주부)",800~899만원,예    ,자녀 있음 ,아파트/ 주상복합,인천,서구,불로동,"경차 (모닝, 스파크 등)"
미륵사지,미륵사지 교도소세트장 보석박물관  익산  전주 여행  1 ,F,4,"사무직 (일반사무직, 공무원, 직업군인)",300~399만원,예    ,자녀 있음 ,아파트/ 주상복합,부산,북구,금곡동,
여수첼린지파크,여수 유월드 루지 테마파크 핫플 인정 100만표,F,2,"사무직 (일반사무직, 공무원, 직업군인)",100~199만원,아니오,          ,아파트/ 주상복합,부산,북구,화명3동,
경주감포,감포팬션바닷가가 한눈에 보이는 경주 팬션,F,3,"사무직 (일반사무직, 공무원, 직업군인)",700~799만원,예    ,자녀 없음 ,아파트/ 주상복합,서울,강동구,상일동,"중형차 (쏘나타, K5, 말리부, 골프급 등)"
울릉도,울릉도 배편 : 네이버 통합검색,F,5,,,      ,          ,,서울,영등포구,양평동3가,
영국사,충북 영동 가볼만한곳 천태산 영국사,M,3,"생산/노무직 (생산감독, 경비원, 공장근로자)",500~599만원,예    ,자녀 있음 ,연립주택/ 다세대/ 빌라,서울,관악구,인헌동,"중형차 (쏘나타, K5, 말리부, 골프급 등)"
청량사,가야산국립공원남산제일봉 청량사 원점회귀 등산코스,M,4,"전문직 (의사, 판검사, 예술가, 종교인)",200~299만원,예    ,자녀 있음 ,아파트/ 주상복합,서울,성북구,돈암2동,"소형차 (액센트, 프라이드, 아베오, 피아트급 등)"
위봉사,한국의 산사 10898 완주 위봉사,M,5,"관리직 (사장, 간부, 고위공무원)",600~699만원,예    ,자녀 없음 ,아파트/ 주상복합,경기,김포시,운양동,"준중형SUV (투싼, 스포티지, QM5, 티구안급 등)"
간월도,서산 간월도 간월암 다녀왔어요,F,5,"주부 (전업주부, 파트타임 근무 주부)",400~499만원,예    ,자녀 있음 ,단독주택,충남,서산시,음암면,"MPV (카니발, 올란도, 피카소급, 오딧세이 등)"
남원,제주 남원 카페 위미리 이피엘 : 네이버 블로그,M,4,"관리직 (사장, 간부, 고위공무원)",400~499만원,예    ,자녀 있음 ,아파트/ 주상복합,전북,김제시,검산동,"경차 (모닝, 스파크 등)"
화계사,문화계 사람들 | [인터뷰]김지영 레전드되다..외로웠던 내게 발레는 친구,F,3,"사무직 (일반사무직, 공무원, 직업군인)",800~899만원,아니오,          ,연립주택/ 다세대/ 빌라,서울,영등포구,신길5동,
옥계,옥계오토캠핑장 : 네이버,F,4,"사무직 (일반사무직, 공무원, 직업군인)",500~599만원,예    ,자녀 있음 ,아파트/ 주상복합,경기,파주시,문산읍,"경차 (모닝, 스파크 등)"
해운대,부산 해운대서 목줄 한 대형견이 30대 남자 중요 부위 물어 | 다음 뉴스,M,4,"사무직 (일반사무직, 공무원, 직업군인)",400~499만원,예    ,자녀 있음 ,아파트/ 주상복합,광주,광산구,수완동,"MPV (카니발, 올란도, 피카소급, 오딧세이 등)"
대원사,대원사거리 | Daum 지도,F,3,"사무직 (일반사무직, 공무원, 직업군인)",200~299만원,아니오,          ,연립주택/ 다세대/ 빌라,서울,은평구,불광2동,"중형차 (쏘나타, K5, 말리부, 골프급 등)"
어답산,20190728일 횡성 어답산횡성온천선바위장송어답산 장군봉병지방계곡,F,4,"사무직 (일반사무직, 공무원, 직업군인)",500~599만원,예    ,자녀 있음 ,아파트/ 주상복합,대구,달서구,유천동,
제주헬스케어타운,추석제주여행  헬스케어타운리조트  한림칼국수  카페라이슬라,M,4,"사무직 (일반사무직, 공무원, 직업군인)",300~399만원,예    ,자녀 있음 ,아파트/ 주상복합,충남,아산시,배방읍,"중형차 (쏘나타, K5, 말리부, 골프급 등)"
안면도,충남 태안 가볼만한곳 안면도 자연휴양림 무장애 나눔길,M,3,"사무직 (일반사무직, 공무원, 직업군인)",300~399만원,예    ,자녀 있음 ,단독주택,광주,서구,화정2동,"준중형SUV (투싼, 스포티지, QM5, 티구안급 등)"
해운대,옵스 해운대점 : 네이버 통합검색,M,4,"사무직 (일반사무직, 공무원, 직업군인)",300~399만원,예    ,자녀 있음 ,아파트/ 주상복합,인천,연수구,선학동,"중형차 (쏘나타, K5, 말리부, 골프급 등)"
미천굴,제주 일출랜드 그리고 미천굴,F,5,"사무직 (일반사무직, 공무원, 직업군인)",500~599만원,예    ,자녀 있음 ,단독주택,서울,강서구,가양동,"준중형SUV (투싼, 스포티지, QM5, 티구안급 등)"
문수사,고창 청량산 문수사,F,4,기타 ,100~199만원,예    ,자녀 있음 ,아파트/ 주상복합,서울,서초구,우면동,
아리랑마을,국악의 고장 전라남도 진도  국립남도국악원 아리랑 마을,M,3,기타 ,200~299만원,아니오,          ,아파트/ 주상복합,경기,구리시,인창동,"준중형SUV (투싼, 스포티지, QM5, 티구안급 등)"
